set size,height
1000,20
2000,24
3000,24
4000,25
5000,26
6000,26
7000,28
8000,28
9000,28
10000,28
11000,28
12000,29
13000,29
14000,29
15000,29
16000,29
17000,30
18000,30
19000,31
20000,31
21000,31
22000,31
23000,31
24000,31
25000,31
26000,31
27000,32
28000,32
29000,32
30000,32
31000,32
32000,32
33000,32
34000,32
35000,32
36000,32
37000,32
38000,33
39000,34
40000,34
41000,34
42000,34
43000,34
44000,34
45000,34
46000,34
47000,34
48000,34
49000,34
50000,34
51000,34
52000,34
53000,34
54000,35
55000,35
56000,35
57000,35
58000,35
59000,35
60000,35
61000,35
62000,35
63000,35
64000,35
65000,35
66000,35
67000,35
68000,36
69000,36
70000,36
71000,36
72000,36
73000,36
74000,36
75000,36
76000,37
77000,37
78000,37
79000,37
80000,37
81000,37
82000,37
83000,37
84000,37
85000,37
86000,37
87000,37
88000,37
89000,37
90000,37
91000,37
92000,37
93000,37
94000,37
95000,37
96000,37
97000,37
98000,37
99000,37
100000,37
101000,37
102000,37
103000,37
104000,37
105000,37
106000,37
107000,37
108000,38
109000,38
110000,38
111000,38
112000,38
113000,38
114000,38
115000,38
116000,38
117000,38
118000,38
119000,38
120000,38
121000,38
122000,38
123000,38
124000,38
125000,38
126000,38
127000,38
128000,38
129000,38
130000,38
131000,38
132000,38
133000,38
134000,38
135000,38
136000,38
137000,38
138000,38
139000,38
140000,38
141000,38
142000,38
143000,38
144000,38
145000,39
146000,39
147000,39
148000,39
149000,39
150000,39
151000,39
152000,40
153000,40
154000,40
155000,40
156000,40
157000,41
158000,41
159000,41
160000,41
161000,41
162000,41
163000,41
164000,41
165000,41
166000,41
167000,41
168000,41
169000,41
170000,41
171000,41
172000,41
173000,41
174000,41
175000,41
176000,41
177000,41
178000,41
179000,41
180000,41
181000,41
182000,41
183000,41
184000,41
185000,41
186000,41
187000,41
188000,41
189000,41
190000,41
191000,41
192000,41
193000,41
194000,41
195000,41
196000,41
197000,41
198000,41
199000,41
200000,41
201000,41
202000,41
203000,41
204000,41
205000,41
206000,41
207000,41
208000,41
209000,41
210000,41
211000,41
212000,41
213000,41
214000,41
215000,41
216000,41
217000,41
218000,41
219000,41
220000,41
221000,41
222000,41
223000,41
224000,41
225000,41
226000,41
227000,41
228000,41
229000,41
230000,41
231000,41
232000,41
233000,41
234000,41
235000,41
236000,41
237000,41
238000,41
239000,41
240000,41
241000,41
242000,41
243000,41
244000,41
245000,41
246000,41
247000,41
248000,41
249000,41
250000,41
251000,41
252000,41
253000,41
254000,41
255000,41
256000,41
257000,41
258000,41
259000,41
260000,41
261000,41
262000,41
263000,41
264000,41
265000,41
266000,41
267000,41
268000,41
269000,41
270000,41
271000,41
272000,41
273000,41
274000,41
275000,41
276000,41
277000,41
278000,41
279000,41
280000,41
281000,41
282000,41
283000,41
284000,41
285000,41
286000,41
287000,41
288000,42
289000,42
290000,42
291000,42
292000,42
293000,42
294000,42
295000,42
296000,42
297000,42
298000,42
299000,42
300000,42
301000,42
302000,42
303000,42
304000,42
305000,43
306000,43
307000,43
308000,43
309000,43
310000,43
311000,43
312000,43
313000,43
314000,43
315000,43
316000,44
317000,44
318000,44
319000,44
320000,44
321000,44
322000,44
323000,44
324000,44
325000,44
326000,44
327000,44
328000,44
329000,44
330000,44
331000,44
332000,44
333000,44
334000,44
335000,44
336000,44
337000,44
