size,AVL-Insert-time (ns),Heap-Insert-time (ns),AVL-RemoveMin-time (ns),Heap-RemoveMin-time (ns)
1,955792,5724291,6583,3833
2,3666,90542,2166,13125
3,2625,24416,3125,3333
4,3208,25458,4666,2792
5,2917,16792,4208,1875
6,2208,12875,4250,2792
7,2750,15625,3208,2959
8,3250,20333,3209,3333
9,3500,17208,2834,2167
10,3041,87292,3417,3083
11,3417,2918375,3083,4542
12,2750,1130375,3500,3417
13,3541,18250,8375,3583
14,3042,2120667,3291,3375
15,3250,132250,3375,4041
16,2125,11000,2667,4291
17,27500,55083,2625,3208
18,2042,16208,2750,2875
19,2042,15458,2625,3958
20,1834,9458,2375,2833
21,2083,9375,1958,2875
22,2125,12833,2125,3583
23,787250,238000,2708,3542
24,2709,8667,2917,4583
25,259166,590834,41125,3583
26,42875,14042,15959,4250
27,206042,215542,75042,3250
28,932959,207500,45208,3875
29,67666,258833,78833,4542
30,1667,8166,5291,6541
31,2042,16250,4041,4542
32,69542,9042,49208,4375
33,2000,5166,4375,3625
34,1959,6333,3500,7042
35,222500,9042,81875,3500
36,1125,3542,3750,7416
37,958,3000,2917,3750
38,1458,11542,3416,4583
39,141583,4708,41500,7250
40,2000,8875,49209,3750
41,70959,7750,4209,4000
42,2208,11542,3084,2917
43,6584,8667,4584,3125
44,1791,6500,3042,3334
45,238208,6834,3375,3875
46,1500,7500,5583,3667
47,1792,9000,37584,5833
48,9458,318167,33625,3875
49,2084,7625,3416,3458
50,1959,11750,4375,3375
51,2833,2877125,25625,4750
52,239625,9542,41792,3834
53,2042,225167,38083,5125
54,2083,18833,5750,3084
55,1042,4042,3583,4500
56,1917,7708,4875,2958
57,96750,4333,3292,2208
58,1375,3416,2333,3833
59,2458,3292,3959,2792
60,1833,4375,3209,2500
61,2125,7375,3833,3833
62,2083,254708,33375,4084
63,1875,5209,4000,2917
64,1292,4750,2958,3167
65,1375,5583,2333,3208
66,1500,3625,2167,10875
67,92291,6458,3833,15500
68,1250,16125,4250,2667
69,1000,10666,4250,5375
70,2334,8417,3916,5625
71,2417,9625,2166,4291
72,1292,10458,3625,5250
73,2083,1932000,23208,4750
74,2125,16750,4458,7250
75,3208,3531041,26292,5042
76,2208,12375,36500,37042
77,244458,7792,40167,38208
78,240542,6916,45667,7709
79,1541,9958,5708,3584
80,1458,14500,3875,5041
81,1541,6583,6125,5208
82,1834,5916,5000,4375
83,1292,289959,152625,5125
84,1625,6250,4667,4792
85,1334,8583,4709,3916
86,1042,16333,4500,3875
87,875,3958,2667,4167
88,1500,4084,3083,2917
89,750,3958,2208,2750
90,542,3708,1958,2458
91,542,3875,2250,2250
92,708,3125,1750,2333
93,61083,17791,4917,2166
94,667,7042,1917,3958
95,1750,291791,154250,5541
96,1333,10708,5417,32583
97,1958,26458,20833,4333
98,1750,8666,3875,4042
99,1334,16625,3500,4667
100,1917,13084,5542,3584
101,1458,94125,5750,42708
102,508292,37500,323250,108708
103,44375,38875,67375,19375
104,449625,231959,129959,23333
105,129458,133917,8583,13250
106,1833,6500,6792,9750
107,834,4625,5250,8667
108,709,6708,7500,8792
109,458,15917,10250,12875
110,833,8167,6500,11083
111,541,5583,6125,9834
112,833,388166,46292,9666
113,1250,3291,7250,9250
114,666,1208,6083,6208
115,417,1125,4708,7166
116,459,132666,159875,18375
117,1083,1292,7542,9166
118,709,667,6833,7333
119,875,5542,10875,10167
120,708,3916,8833,12042
121,709,2292,7417,10125
122,667,7167,8291,8958
123,708,917,5667,10333
124,583,1292,8375,10709
125,667,1625,7750,10083
126,750,5167,5208,6667
127,667,133458,168208,21333
128,1125,4083,19209,17875
129,709,2875,7666,14334
130,167,917,6459,7916
131,375,129792,152542,21166
132,1292,1833,8750,8125
133,666,1375,5167,7625
134,291,1042,5000,3500
135,459,2375,15959,13542
136,500,1333,11459,8458
137,500,18250,20208,19208
138,459,3167,6458,6250
139,666,11958,8125,9667
140,542,1708,8084,6167
141,500,625,6417,6792
142,542,1334,8000,10459
143,625,1250,6208,11167
144,333,750,4750,6750
145,334,3209,6208,7167
146,500,173875,175958,28125
147,1458,2625,8625,8458
148,459,1791,8209,8500
149,625,2125,5875,10958
150,667,10375,9250,9333
151,625,347917,7542,7583
152,416,136291,157125,17959
153,1042,2667,9208,41125
154,186750,3208,173958,11042
155,708,1625,8291,7000
156,375,3500,9875,7542
157,667,12500,6792,8375
158,541,4792,9375,6166
159,334,750,3958,2916
160,500,375,3333,7334
161,209,500,3042,2542
162,209,583,4708,7792
163,416,1041,5125,6709
164,416,1375,8000,7333
165,459,1959,35917,9333
166,2500,750,99000,44625
167,179084,3334,152750,10042
168,708,750,9125,8083
169,334,583,15542,7417
170,583,3167,11333,7792
171,458,1292,8958,11292
172,875,1417,11208,10292
173,834,958,10000,8250
174,500,875,8542,11166
175,875,1375,7959,10291
176,709,10250,84625,20167
177,417,1792,8667,11833
178,792,144250,149208,28292
179,1125,3708,10375,12125
180,708,130209,151375,18833
181,1417,1625,11209,6958
182,250,1125,9875,10500
183,667,5333,9333,10167
184,667,2666,8833,8834
185,875,1000,7916,6666
186,667,791,7583,4542
187,750,1833,6334,38125
188,199417,3125,240667,15125
189,625,1750,94125,7542
190,792,791,6542,3417
191,125,625,4500,4000
192,167,542,5334,3083
193,208,875,4458,3708
194,4125,917,4458,4375
195,250,458,6750,6500
196,625,3416,10417,11542
197,667,2625,10209,7083
198,542,3917,8042,10417
199,417,5834,12333,11166
200,584,2291,33875,10791
201,667,2917,329041,11167
202,542,2458,134500,9416
203,416,145708,184542,19875
204,1416,3042,8417,10250
205,833,625,7208,6375
206,542,139166,169292,22583
207,1459,1917,9042,8083
208,792,1084,6375,11208
209,1291,167,5334,10209
210,833,3375,11334,13959
211,500,1042,7792,5166
212,667,875,5750,10583
213,708,1417,7125,8667
214,709,1208,5208,7917
215,709,708,48792,8458
216,666,127292,174791,18417
217,5833,2166,10083,9458
218,625,4166,8958,9042
219,500,3125,5000,8375
220,834,1458,4709,8541
221,833,666,3334,3958
222,375,792,6875,4541
223,166,666,7417,5500
224,375,5458,4875,7666
225,667,13875,7667,122667
226,708,4125,121709,10250
227,750,4583,119375,13042
228,708,2291,5208,45834
229,189875,2541,194250,70208
230,180833,4458,213542,129209
231,583,2125,528042,164834
232,750,1541,192916,95375
233,750,1458,1916,7667
234,205792,71583,257625,53292
235,583,1541,2125,11125
236,208,1500,1375,5958
237,291,500,1125,6708
238,291,2042,3792,6375
239,459,3500,2875,10416
240,625,7125,1458,8042
241,750,1000,1792,7166
242,625,583,1416,6792
243,583,1333,2417,14000
244,875,583,1584,7208
245,666,833,2125,7416
246,625,541,1542,4750
247,542,3500,2750,9958
248,666,129250,235958,66917
249,1334,2750,1959,9833
250,541,2833,2209,7791
251,667,6083,1708,10000
252,750,72833,2292,8042
253,417,8375,1875,7750
254,541,8250,1792,67792
255,191250,3459,242375,9666
256,792,5792,2125,8667
257,833,117708,238542,79417
258,1375,2458,2042,81083
259,917,750,2000,5834
260,459,500,875,2125
261,375,625,958,2750
262,334,917,2500,7917
263,458,3625,3125,7500
264,750,3292,2042,6583
265,542,1167,1791,5833
266,708,1292,2291,5292
267,583,583,1709,5708
268,542,750,1375,5583
269,625,542,1458,4542
270,750,2208,1584,10042
271,667,1708,1917,7875
272,750,1750,1500,316667
273,179208,5959,245417,7625
274,584,3000,2583,8417
275,625,2250,1791,6250
276,333,6750,1542,8125
277,500,2244875,1959,6958
278,291,1403666,1667,8167
279,625,286542,1625,5875
280,417,136917,243292,111083
281,204042,70125,241583,67917
282,458,3875,5667,7791
283,541,4292,2000,6208
284,333,1000,1792,4125
285,250,333,1875,5000
286,334,500,1459,3792
287,250,291,1333,4208
288,333,292,1083,2375
289,250,133375,240458,75667
290,1417,1166,1334,9583
291,584,1750,2209,5084
292,166,3042,1625,7958
293,250,667,1125,5125
294,459,625,1417,7708
295,542,667,1375,10750
296,709,9584,4125,6750
297,625,2250,1667,5292
298,500,875,1667,6375
299,667,1334,2333,7667
300,625,1333,1625,6625
301,625,833,1958,6750
302,666,958,1708,7500
303,625,792,2000,5709
304,667,1333,2041,10000
305,791,1084,89083,106666
306,175208,3042,246209,10792
307,750,188292,268125,83750
308,1666,1375,2292,21667
309,1375,833,1792,10208
310,834,3417,2625,7042
311,542,4291,5708,48791
312,583,1292,2167,5250
313,333,625,1917,4084
314,416,1000,1833,5708
315,708,375,1875,102584
316,185667,6208,249708,9084
317,250,1584,2167,7042
318,334,834,1042,8917
319,333,3083,1166,6333
320,458,208,1458,6917
