n,InsertionSort Time (in ns),SelectionSort Time (in ns),BubbleSort Time (in ns),MergeSort Time (in ns),5,918,1152,1124,3440
10,905,419,592,1457
15,656,811,1207,964
20,1279,1251,2478,1538
25,1505,1217,3510,1865
30,697,1669,2288,2301
35,768,2143,2952,3534
40,921,4791,3772,4937
45,1162,3492,4694,3202
50,1251,4181,5690,3619
55,1428,5030,6782,4097
60,1619,5937,7969,10366
65,1875,7116,9383,4255
70,2055,8018,10711,4651
75,2250,9202,12357,5482
80,2750,10802,14311,5415
85,2767,12218,15247,6980
90,3026,13691,18275,7960
95,3631,15454,18996,8228
100,3557,17641,21428,7978
