Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Population growth (annual %) [SP.POP.GROW],Arable land (% of land area) [AG.LND.ARBL.ZS]
2000,YR2000,Austria,AUT,24625.6007227434,60.213,0.240466652446524,16.9534658264663
2000,YR2000,Australia,AUS,21697.7084797731,84.235,1.19227232344832,3.05546516017339
2000,YR2000,Belgium,BEL,23098.8865077401,97.129,0.242517956221334,28.4676354029062
2000,YR2000,Canada,CAN,24271.0020563821,79.478,0.931281553452429,4.56980522196531
2000,YR2000,Chile,CHL,5100.25413288222,86.073,1.17718527887184,2.35363104748686
2000,YR2000,Czechia,CZE,6029.03819275358,73.988,-0.280414108078884,41.9697165782322
2000,YR2000,Denmark,DNK,30743.5476816354,85.1,0.334233618829261,57.025
2000,YR2000,Estonia,EST,4070.60902410208,69.368,0.483707161729931,19.8867657466384
2000,YR2000,Finland,FIN,24345.9148217032,82.183,0.2076065154133,7.18375521192423
2000,YR2000,France,FRA,22419.6948211313,75.871,0.684945783642239,33.5199162842173
2000,YR2000,Germany,DEU,23694.7604830673,74.965,0.135431600393084,33.8271958733343
2000,YR2000,Greece,GRC,12072.9293569196,72.716,0.409041838238246,21.2645461598138
2000,YR2000,Hungary,HUN,4624.28165670295,64.575,-0.259764908288633,51.3501450569069
2000,YR2000,Iceland,ISL,32096.3722613695,92.401,1.36919283329812,1.28678304239401
2000,YR2000,Ireland,IRL,26334.5672050501,59.155,1.33304266586712,5.67861808680505
2000,YR2000,Israel,ISR,21061.4822833993,91.203,2.64233191305756,15.6192236598891
2000,YR2000,Japan,JPN,39169.3595701504,78.649,0.167275578113187,12.2743484224966
2000,YR2000,Italy,ITA,20137.5912217673,67.222,0.045303631138613,28.672586721133
2000,YR2000,"Korea, Rep.",KOR,12256.9935679503,79.621,0.836180864297766,17.8104913953971
2000,YR2000,Latvia,LVA,3361.64086880275,68.067,-0.963935407092365,15.588088771755
2000,YR2000,Lithuania,LTU,3293.22997867086,66.986,-0.703385440488978,45.9157626037013
2000,YR2000,Luxembourg,LUX,48659.5988753233,84.216,1.34408299573143,24.0827202597826
2000,YR2000,Mexico,MEX,7157.81449985734,74.722,1.4410967038977,11.78271046066
2000,YR2000,Netherlands,NLD,26214.498549887,76.795,0.714770362784392,30.2932464454976
2000,YR2000,New Zealand,NZL,13641.1027183822,86.021,0.587564086381346,5.69670730317876
2000,YR2000,Norway,NOR,38131.4606116242,76.02,0.649044821192665,2.40661037552978
2000,YR2000,Poland,POL,4501.45406742273,61.716,-1.04433539837844,45.6854614907441
2000,YR2000,Portugal,PRT,11526.3720667968,54.399,0.702859953319024,19.1286338797814
2000,YR2000,Slovak Republic,SVK,5426.62428119306,56.233,-0.135376487794425,31.7671517671518
2000,YR2000,Slovenia,SVN,10201.3035366727,50.754,0.29607496005045,8.58987090367428
2000,YR2000,Spain,ESP,14749.6874248766,76.262,0.447137014535835,26.8537074148297
2000,YR2000,Switzerland,CHE,38952.0342005572,73.383,0.561954617400164,10.3430826839389
2000,YR2000,Sweden,SWE,29624.9126748618,84.026,0.160575484575313,6.38116049086303
2000,YR2000,Turkiye,TUR,4337.47800296354,64.741,1.51810979845438,30.9577329366059
2000,YR2000,United States,USA,36329.9560727102,79.057,1.11276899679534,19.1409660857113
2000,YR2000,United Kingdom,GBR,28223.0675706515,78.651,0.357300887421605,24.2880171950564
