Time,Time Code,Country Name,Country Code,"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2000,YR2000,Australia,AUS,64.3806613653468,84.235,4.88731002807617
2000,YR2000,Austria,AUT,59.3090153444783,60.213,5.58880996704102
2000,YR2000,Belgium,BEL,63.0558428934957,97.129,..
2000,YR2000,Canada,CAN,61.3006673218433,79.478,5.42331981658936
2000,YR2000,Chile,CHL,55.6064735933259,86.073,3.77583003044128
2000,YR2000,Czechia,CZE,54.3535171138114,73.988,3.64034008979797
2000,YR2000,Denmark,DNK,60.3445677866397,85.1,8.08434009552002
2000,YR2000,Estonia,EST,60.5578253447825,69.368,5.33945989608765
2000,YR2000,Finland,FIN,52.9521701528855,82.183,5.70930004119873
2000,YR2000,France,FRA,66.3111014923051,75.871,..
2000,YR2000,Germany,DEU,61.4648497693318,74.965,..
2000,YR2000,Greece,GRC,65.1508351920359,72.716,3.23019003868103
2000,YR2000,Hungary,HUN,53.2595114459175,64.575,4.86840009689331
2000,YR2000,Iceland,ISL,56.9012940058605,92.401,6.4314398765564
2000,YR2000,Ireland,IRL,55.1420974601026,59.155,4.13225984573364
2000,YR2000,Israel,ISR,64.7252123638348,91.203,6.11282014846802
2000,YR2000,Italy,ITA,62.7319377833287,67.222,4.29107999801636
2000,YR2000,Japan,JPN,66.0206414543262,78.649,3.46011996269226
2000,YR2000,"Korea, Rep.",KOR,51.6184381917222,79.621,..
2000,YR2000,Latvia,LVA,61.4163957434603,68.067,5.27427005767822
2000,YR2000,Lithuania,LTU,56.9388472596318,66.986,..
2000,YR2000,Luxembourg,LUX,71.9422412581348,84.216,..
2000,YR2000,Netherlands,NLD,65.7454419953673,76.795,4.58512020111084
2000,YR2000,New Zealand,NZL,61.8112634451222,86.021,..
2000,YR2000,Norway,NOR,49.8828687114497,76.02,6.46726989746094
2000,YR2000,Poland,POL,56.8358934003845,61.716,4.9839301109314
2000,YR2000,Portugal,PRT,60.052512005172,54.399,5.16384983062744
2000,YR2000,Slovak Republic,SVK,57.2054188824401,56.233,3.86468005180359
2000,YR2000,Slovenia,SVN,53.7753481890161,50.754,..
2000,YR2000,Spain,ESP,59.1995690367075,76.262,4.16604995727539
2000,YR2000,Sweden,SWE,60.573651735294,84.026,6.740149974823
2000,YR2000,Switzerland,CHE,69.0159115844924,73.383,4.64836978912354
2000,YR2000,United Kingdom,GBR,66.066909421939,78.651,4.0231499671936
2000,YR2000,United States,USA,72.818447739512,79.057,..
2000,YR2000,Mexico,MEX,57.8023394580782,74.722,3.99243998527527
2000,YR2000,Turkiye,TUR,52.7589266133241,64.741,2.51688003540039
2001,YR2001,Australia,AUS,64.1750603424478,84.1,..
2001,YR2001,Austria,AUT,59.4875285840504,59.934,5.57547998428345
2001,YR2001,Belgium,BEL,64.1634154249023,97.186,..
2001,YR2001,Canada,CAN,62.541468806109,79.81,4.95303010940552
2001,YR2001,Chile,CHL,56.1914535588133,86.363,..
2001,YR2001,Czechia,CZE,54.1519491486651,73.877,3.73283004760742
2001,YR2001,Denmark,DNK,60.8868593279782,85.15,8.21545028686523
2001,YR2001,Estonia,EST,60.2513013682848,69.242,5.22845983505249
2001,YR2001,Finland,FIN,54.3096772409215,82.368,5.84025001525879
2001,YR2001,France,FRA,66.9309582629047,76.127,..
2001,YR2001,Germany,DEU,62.1829287377908,75.17,..
2001,YR2001,Greece,GRC,64.4762069802064,72.913,3.36457991600037
2001,YR2001,Hungary,HUN,54.3697260158325,64.67,4.9310097694397
2001,YR2001,Iceland,ISL,56.7794223592616,92.532,6.70592021942139
2001,YR2001,Ireland,IRL,53.0495283717785,59.399,4.08749008178711
2001,YR2001,Israel,ISR,66.1673680221015,91.267,6.3739800453186
2001,YR2001,Italy,ITA,63.5240336749948,67.282,4.65009021759033
2001,YR2001,Japan,JPN,67.0662812781022,79.99,3.40082001686096
2001,YR2001,"Korea, Rep.",KOR,53.0839452785934,79.94,..
2001,YR2001,Latvia,LVA,62.7684207412508,67.95,5.44695997238159
2001,YR2001,Lithuania,LTU,57.0462510652807,66.919,5.84758996963501
2001,YR2001,Luxembourg,LUX,72.8424114534201,84.843,3.53973007202148
2001,YR2001,Netherlands,NLD,65.2003295419408,77.83,4.69964981079102
2001,YR2001,New Zealand,NZL,62.1193051152962,86.1,6.56049013137817
2001,YR2001,Norway,NOR,51.5459251578655,76.378,6.83062982559204
2001,YR2001,Poland,POL,58.262832225276,61.761,5.31902980804443
2001,YR2001,Portugal,PRT,60.6126684182359,55.044,5.33713006973267
2001,YR2001,Slovak Republic,SVK,57.4708353091505,56.163,3.93569993972778
2001,YR2001,Slovenia,SVN,54.4051358393456,50.78,5.7568302154541
2001,YR2001,Spain,ESP,59.5402521851145,76.343,4.1112699508667
2001,YR2001,Sweden,SWE,60.8849752629176,84.071,6.61764001846313
2001,YR2001,Switzerland,CHE,68.66745642001,73.375,4.81137990951538
2001,YR2001,United Kingdom,GBR,67.4124776821482,78.751,4.10855007171631
2001,YR2001,United States,USA,74.0174691599687,79.234,..
2001,YR2001,Mexico,MEX,58.3860555631695,75.045,4.24104022979736
2001,YR2001,Turkiye,TUR,54.9718034155557,65.34,2.63461995124817
2002,YR2002,Australia,AUS,63.9761030944481,84.222,..
