Country Code,E,GDP,A,I,S
ALB,0.2193855179,6866.989273,1,0,0
DZA,0.3030565431,10296.1836,0,0,1
AGO,0.2103580595,5042.911102,1,0,0
ARM,0.4473701395,6049.398033,1,0,0
AUS,0.5572892331,33677.83072,0,0,1
AZE,0.754657131,8867.45603,1,0,0
BHS,0.270610691,29220.43041,0,0,1
BHR,0.5311639181,43311.36708,0,0,1
BGD,0.1260497084,2272.370791,1,0,0
BRB,0.3821120799,13721.47078,0,0,1
BLR,0.787880034,11011.64061,0,1,0
BEL,0.3357073577,34309.5458,0,0,1
BLZ,0.3345820681,6257.923088,0,0,1
BEN,0.1489562295,2147.305984,1,0,0
BTN,0.1217076085,5300.905784,1,0,0
BOL,0.3196555226,4782.283532,1,0,0
BWA,0.240607266,10910.77768,0,1,0
BRA,0.1688026172,11388.56868,0,0,1
BRN,0.232181943,70063.63867,0,0,1
BGR,0.62592864,12116.52789,0,1,0
BFA,0.08911761021,1262.636836,1,0,0
BDI,0.0549446966,637.5420631,1,0,0
CPV,0.188272174,4153.596883,0,0,1
CMR,0.1511915294,2552.673287,1,0,0
CAF,0.06830027457,772.7427627,1,0,0
TCD,0.06813839186,1259.029157,1,0,0
CHL,0.2864350897,14548.32056,0,0,1
CHN,0.9023791615,6766.457301,0,1,0
COL,0.180840552,9340.514547,0,1,0
COM,0.1037414023,2126.068813,1,0,0
COD,0.0705325232,662.3820276,1,0,0
COG,0.2772079597,4278.906361,0,1,0
CRI,0.1460456897,11362.10527,0,0,1
CIV,0.0954943957,3520.783377,1,0,0
CYP,0.3932421231,26707.59604,0,0,1
CZE,0.5752300212,23619.17635,0,1,0
DNK,0.3101283148,36158.13313,0,0,1
DOM,0.2413020575,9518.39178,0,0,1
ECU,0.2709526864,8041.629685,1,0,0
EGY,0.2859793204,7673.106349,0,0,1
SLV,0.188178498,5572.506403,0,1,0
GNQ,0.6112177623,19094.58501,1,0,0
SWZ,0.1145512158,6300.582877,0,0,1
ETH,0.09663253808,913.494944,1,0,0
FJI,0.173367508,7845.402251,0,0,1
FIN,0.3733055484,32596.1305,0,0,1
FRA,0.1994934987,31358.19192,0,0,1
GAB,0.2774095795,14527.92403,0,1,0
GMB,0.1123912447,1991.987303,1,0,0
GEO,0.440487644,6573.973021,1,0,0
DEU,0.3172197452,34932.10565,0,0,1
GHA,0.145685274,2872.478674,1,0,0
GRC,0.3598536717,23235.50714,0,0,1
GTM,0.1407183023,5880.397366,0,0,1
GIN,0.1388537347,1521.271314,1,0,0
GNB,0.1237511452,1314.97715,1,0,0
GUY,0.3174955072,7844.594555,0,0,1
HND,0.2674847488,3442.450451,1,0,0
IND,0.3766490808,3389.171174,0,1,0
IDN,0.23195107,7026.814256,1,0,0
IRN,0.4572635723,13561.05819,0,1,0
IRL,0.29993583,41048.07794,0,0,1
ITA,0.240814265,30943.72673,0,0,1
JAM,0.4614954148,7461.223876,0,0,1
JPN,0.3041449481,31828.81909,0,0,1
JOR,0.4204600066,7602.624641,0,0,1
KEN,0.1136797343,2497.391099,1,0,0
KOR,0.447324395,25399.49045,0,0,1
LAO,0.1414157859,3392.665082,1,0,0
LSO,0.1457415716,1798.893701,1,0,0
LUX,0.3667533132,73063.85591,0,0,1
MDG,0.07403075158,1393.980737,1,0,0
MWI,0.06238144205,1149.652859,1,0,0
MLT,0.3101819493,24216.85134,1,0,0
MUS,0.1938728699,12783.97618,0,0,1
MEX,0.3019913545,13513.44149,0,0,1
MNG,0.945438648,6505.137555,1,0,0
MAR,0.2880910183,5019.38336,1,0,0
MOZ,0.1710428392,757.8577991,1,0,0
MMR,0.1589948438,2088.762601,1,0,0
NPL,0.08530449212,1948.019865,1,0,0
NLD,0.2940550829,38294.20233,0,0,1
NZL,0.2950025841,27443.88588,0,0,1
NIC,0.2197978193,3594.195946,0,0,1
NER,0.07603358159,946.3953029,1,0,0
NGA,0.2340912464,3603.321465,1,0,0
MKD,0.569353678,9197.530975,0,1,0
NOR,0.1995725639,45870.78164,0,0,1
OMN,0.3231960087,39841.48848,0,0,1
PAK,0.2074903181,3754.57974,1,0,0
PNG,0.2371652887,2751.680629,1,0,0
PRY,0.09395346844,8592.318867,0,0,1
POL,0.6649306437,16601.67091,0,1,0
PRT,0.2494392583,22831.02358,0,0,1
ROU,0.5329528182,13090.76689,0,1,0
RUS,1.095908933,14902.8672,0,1,0
RWA,0.0848740726,1105.035744,1,0,0
SAU,0.308157905,45080.80469,0,1,0
SLE,0.09327934835,1057.393423,1,0,0
SGP,0.1870343826,60168.2483,0,0,1
SLB,0.306358139,2018.531361,1,0,0
ZAF,0.7175561417,10681.3398,0,0,1
LKA,0.1023493557,6848.092826,1,0,0
SDN,0.08801527674,3268.062386,1,0,0
SWE,0.1746394946,36075.69267,0,0,1
CHE,0.137688883,47144.35646,0,1,0
TJK,0.3167382412,2022.129969,1,0,0
TZA,0.08396367058,1681.332204,1,0,0
TTO,0.6418380774,20882.82132,0,0,1
TUN,0.3002644584,8147.383158,0,1,0
TUR,0.2624381483,15531.39624,0,1,0
UGA,0.05243023727,1538.760189,1,0,0
UKR,1.039059379,7610.350906,0,1,0
ARE,0.3000573473,82931.11535,0,1,0
GBR,0.2893899526,32185.10092,0,0,1
USA,0.4662683625,43089.90927,0,0,1
URY,0.1423918504,13844.55032,0,0,1
VUT,0.2026292007,2425.448962,1,0,0
VNM,0.2719029335,4462.289941,1,0,0
ZMB,0.1124549702,2415.349793,1,0,0
ZWE,0.5060420858,2099.811535,1,0,0
