Time,Time Code,Country Name,Country Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2000,YR2000,Australia,AUS,84.235,4.88731002807617
2000,YR2000,Austria,AUT,60.213,5.58880996704102
2000,YR2000,Belgium,BEL,97.129,..
2000,YR2000,Canada,CAN,79.478,5.42331981658936
2000,YR2000,Chile,CHL,86.073,3.77583003044128
2000,YR2000,Czechia,CZE,73.988,3.64034008979797
2000,YR2000,Denmark,DNK,85.1,8.08434009552002
2000,YR2000,Estonia,EST,69.368,5.33945989608765
2000,YR2000,Finland,FIN,82.183,5.70930004119873
2000,YR2000,France,FRA,75.871,..
2000,YR2000,Germany,DEU,74.965,..
2000,YR2000,Greece,GRC,72.716,3.23019003868103
2000,YR2000,Hungary,HUN,64.575,4.86840009689331
2000,YR2000,Iceland,ISL,92.401,6.4314398765564
2000,YR2000,Ireland,IRL,59.155,4.13225984573364
2000,YR2000,Israel,ISR,91.203,6.11282014846802
2000,YR2000,Italy,ITA,67.222,4.29107999801636
2000,YR2000,Japan,JPN,78.649,3.46011996269226
2000,YR2000,"Korea, Rep.",KOR,79.621,..
2000,YR2000,Latvia,LVA,68.067,5.27427005767822
2000,YR2000,Lithuania,LTU,66.986,..
2000,YR2000,Luxembourg,LUX,84.216,..
2000,YR2000,Mexico,MEX,74.722,3.99243998527527
2000,YR2000,Netherlands,NLD,76.795,4.58512020111084
2000,YR2000,New Zealand,NZL,86.021,..
2000,YR2000,Norway,NOR,76.02,6.46726989746094
2000,YR2000,Poland,POL,61.716,4.9839301109314
2000,YR2000,Portugal,PRT,54.399,5.16384983062744
2000,YR2000,Slovak Republic,SVK,56.233,3.86468005180359
2000,YR2000,Slovenia,SVN,50.754,..
2000,YR2000,Spain,ESP,76.262,4.16604995727539
2000,YR2000,Sweden,SWE,84.026,6.740149974823
2000,YR2000,Switzerland,CHE,73.383,4.64836978912354
2000,YR2000,Turkiye,TUR,64.741,2.51688003540039
2000,YR2000,United Kingdom,GBR,78.651,4.0231499671936
2000,YR2000,United States,USA,79.057,..
2001,YR2001,Australia,AUS,84.1,..
2001,YR2001,Austria,AUT,59.934,5.57547998428345
2001,YR2001,Belgium,BEL,97.186,..
2001,YR2001,Canada,CAN,79.81,4.95303010940552
2001,YR2001,Chile,CHL,86.363,..
2001,YR2001,Czechia,CZE,73.877,3.73283004760742
2001,YR2001,Denmark,DNK,85.15,8.21545028686523
2001,YR2001,Estonia,EST,69.242,5.22845983505249
2001,YR2001,Finland,FIN,82.368,5.84025001525879
2001,YR2001,France,FRA,76.127,..
2001,YR2001,Germany,DEU,75.17,..
2001,YR2001,Greece,GRC,72.913,3.36457991600037
2001,YR2001,Hungary,HUN,64.67,4.9310097694397
2001,YR2001,Iceland,ISL,92.532,6.70592021942139
2001,YR2001,Ireland,IRL,59.399,4.08749008178711
2001,YR2001,Israel,ISR,91.267,6.3739800453186
2001,YR2001,Italy,ITA,67.282,4.65009021759033
2001,YR2001,Japan,JPN,79.99,3.40082001686096
2001,YR2001,"Korea, Rep.",KOR,79.94,..
2001,YR2001,Latvia,LVA,67.95,5.44695997238159
2001,YR2001,Lithuania,LTU,66.919,5.84758996963501
2001,YR2001,Luxembourg,LUX,84.843,3.53973007202148
2001,YR2001,Mexico,MEX,75.045,4.24104022979736
2001,YR2001,Netherlands,NLD,77.83,4.69964981079102
2001,YR2001,New Zealand,NZL,86.1,6.56049013137817
2001,YR2001,Norway,NOR,76.378,6.83062982559204
2001,YR2001,Poland,POL,61.761,5.31902980804443
2001,YR2001,Portugal,PRT,55.044,5.33713006973267
2001,YR2001,Slovak Republic,SVK,56.163,3.93569993972778
2001,YR2001,Slovenia,SVN,50.78,5.7568302154541
2001,YR2001,Spain,ESP,76.343,4.1112699508667
