Country Name,Country Code,Agricultural land (% of land area),Current account balance (% of GDP),Electricity production from coal sources (% of total),Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),CO2 emissions (kg per 2000 US$ of GDP),CO2 emissions (metric tons per capita),"PM10, country level (micrograms per cubic meter)",Population density (people per sq. km),Population in urban agglomerations of more than 1 million (% of total population),"Inflation, consumer prices (annual %)",Real interest rate (%),"Highest marginal tax rate, corporate rate (%)","Highest marginal tax rate, individual rate (%)",Tax revenue (% of GDP),Ease of doing business index (1=most business-friendly regulations),Cost to export (US$ per container),Cost to import (US$ per container),Rigidity of employment index (0=less rigid to 100=more rigid),Total tax rate (% of profit),Information and communication technology expenditure per capita (current US$),Mobile cellular subscriptions (per 100 people),Telephone lines (per 100 people),Fixed broadband Internet subscribers (per 100 people),Internet users (per 100 people),General government final consumption expenditure (% of GDP),"Household final consumption expenditure, etc. (% of GDP)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),GDP per capita (constant 2000 US$),GDP per capita growth (annual %),"Expenditure per student, primary (% of GDP per capita)","Expenditure per student, secondary (% of GDP per capita)","Public spending on education, total (% of GDP)","Health expenditure, private (% of GDP)","Health expenditure, public (% of GDP)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),"Labor participation rate, total (% of total population ages 15+)",Labor force with primary education (% of total),Labor force with secondary education (% of total),Labor force with tertiary education (% of total),Long-term unemployment (% of total unemployment),"Unemployment, total (% of total labor force)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Population ages 15-64 (% of total),Researchers in R&D (per million people),Urban population (% of total),"Tariff rate, applied, weighted mean, all products (%)",High-technology exports (% of manufactured exports),GDP constant (2005 US$),GDP (current US$),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Mortality rate infant (per 1000 live births),Mortality rate under-5 (per 1000 live births),Population (Total),Population (ages 0-14 % of total),Population (ages 15-64 % of total),Arable land (% of land area),Cereal yield (kg per hectare),Land under cereal production (hectares),LFP Female 15-64 ILO ,LFP Male 15-64 ILO ,LFP Total 15-64 ILO ,LF Tertiary Female %,LF Tertiary Male %,LF Tertiary Total %,Tertiary Enroll Female,Tertiary Enroll Male,Tertiary Enroll Total,Year
Australia,AUS,59.06160915,-5.454118935,78.0554844,93.89526401,9929.145091,0.817172839,17.31755934,19.29344489,2.463585124,60.49045757,1.465428277,7.873280537,36,,22.38302861,9,,,0,,,33.366797,51.56926979,,40.82691007,17.91487004,60.06953645,18.32277439,24.17138406,20.47856495,21192.03982,3.965420102,16.85254174,15.37280368,5.072405345,,,5,21.3,73.7,62.9,,,,28.3,6.900000095,78.93170732,76.2,66.6689697,,86.98,10.16,10.96008198,5.69076E+11,3.88868E+11,25.89859078,6.632991012,5.3,6.4,18926000,20.92074585,66.78012085,5.92661052,2110.978,16754700,64.40000153,82.59999847,73.5,,,,72.32266,59.07631,65.57697,1999
Austria,AUT,41.11582777,-1.654128549,9.135976151,76.61757521,6963.347265,0.334429932,7.70923945,36.13384674,97.05501516,19.34715089,0.562394914,5.23640862,34,,20.22221605,26,,,24,,,53.11539872,49.22404953,0.636076192,22.99371697,19.74184065,54.36888349,42.32479789,24.70783444,41.14335648,23051.88239,3.085287445,24.85080091,29.88974532,6.229232752,,,6.1,30.4,63.4,58.5,21.89999962,68.90000153,9.199999809,29.2,4.699999809,77.74097561,74.78,67.49042596,,65.8,3.13,11.94541761,2.70695E+11,2.12302E+11,24.87609605,3.531240922,4.7,5.6,7992324,17.26760864,67.31817627,17.004245,6050.503,832722,61.70000076,80.09999847,70.90000153,12.69999981,16.60000038,14.89999962,56.3034,54.33323,55.30145,1999
Belgium,BEL,,,15.02770914,76.10721408,7944.45531,0.518506703,11.33561197,27.28682255,,17.24909055,1.118421053,6.337652849,40.17,,27.15011249,20,,,17,,,31.16176413,48.97946411,0.224916879,13.69059261,21.51203788,53.04094893,75.3294886,21.10196098,70.98443639,21862.03556,3.184483417,,,,,,2.4,25.8,71,51.8,33.59999847,35.70000076,30.60000038,60.5,8.600000381,77.37560976,74.4,65.68366811,2924.786085,97.04,3.13,8.785475247,3.3629E+11,2.54504E+11,21.41562394,2.474365387,5,6.1,10226419,17.66035652,65.56726074,,8136.8,301035,56,73.09999847,64.59999847,35.59999847,28.20000076,31.39999962,60.51539,52.91442,56.66341,1999
Canada,CAN,7.447399299,0.266924712,18.6406308,76.25184561,16625.3869,0.693133627,15.65542126,22.26806027,3.353952434,41.87310815,1.734842951,4.611553386,44.6,,15.5197106,8,,,4,,,22.65973534,66.82142482,1.908246774,36.06651978,18.93793113,57.10012103,43.18406907,20.30218609,39.52430731,22586.44027,4.662225765,,,5.685342518,,,3.6,22.9,73.5,65.1,18.79999924,42.20000076,39,11.7,7.599999905,78.88292683,76.2,68.11741723,3250.627909,79.14,1,14.83938334,9.50203E+11,6.61265E+11,20.30218609,7.460313363,5.3,6.3,30499200,19.46101761,68.099823,5.02985096,3087.708,17513800,69.80000305,81.90000153,75.90000153,43.29999924,35.29999924,39,68.88973,51.52443,59.98948,1999
Switzerland,CHE,39.5,10.54513481,0,57.09788093,7770.868347,0.16854862,5.695621289,27.42366452,178.5,15.0155042,0.824829932,3.264987432,25.1,,9.734494824,19,,,7,,,42.8222549,70.95238095,0,33.99731092,11.16464974,60.74353561,42.04660922,22.55237804,36.50717262,33792.15613,0.8854577,22.69778353,27.32443382,5.285897454,,,4.8,25.3,69.9,67.8,17.70000076,59.20000076,22.79999924,39.6,3.099999905,79.5702439,76.78,67.280385,,73.36,1.63,19.18438815,3.47796E+11,2.73548E+11,22.41160395,-4.138335326,4.7,5.7,7143991,17.56639862,67.25632477,10.375,5790.724,182257,72.30000305,89.5,80.90000153,13.60000038,30.10000038,22.79999924,30.91428,42.8652,36.91282,1999
Czech Republic,CZE,55.41607351,-2.435120696,69.57090977,89.24080355,5494.310999,2.066854817,10.99948264,26.49333563,133.0788145,11.44120393,2.143130501,5.677118097,35,,15.85430967,66,,,11,,,18.91036662,37.01387727,0,6.80735194,21.17553995,52.89819238,55.45557784,27.09413749,56.62344765,5321.845806,1.456779962,11.17995999,21.65924724,3.971016875,,,5.2,40.1,54.6,60.5,9.800000191,79,11.30000019,37.1,8.699999809,74.60292683,71.32,69.37648138,1321.171205,74.12,3.13,8.315016117,1.02158E+11,62165739783,27.4983097,-2.318906987,6,7,10283860,16.84371758,69.40718842,42.13795781,4350.827,1594098,64.19999695,80.19999695,72.19999695,10,12.30000019,11.19999981,25.95458,25.18712,25.56303,1999
Germany,DEU,49.17854173,-1.26162363,52.15448516,83.93113599,6506.182465,0.447439525,10.03559365,23.01282735,235.361413,7.658797374,0.569776342,8.42535222,52.3,,11.67196819,27,,,42,,,28.56237894,58.73037144,,20.83155676,19.24652087,58.4000994,29.39811133,21.48658052,28.53131213,22428.93864,1.961243526,14.84480776,20.45704725,4.466732895,,,2.8,33.8,63.2,58.5,17.89999962,58.29999924,23.79999924,51.7,8.899999619,77.72682927,74.8,68.15150529,3104.844541,73.14,3.13,15.82610968,2.60553E+12,2.13105E+12,21.79682032,4.585799276,4.5,5.5,82100243,15.83218384,68.1602478,33.87586681,6697.678,6638210,63.29999924,79.5,71.5,19,26.10000038,23,,,,1999
Denmark,DNK,62.31440019,1.751816662,51.59955803,90.89296891,6511.238438,0.327594942,9.523170319,23.81762421,125.3620316,20.15771056,2.478685066,5.353819082,32,,31.9141835,5,,,7,,,49.41775045,68.39712501,,30.56901802,25.74181708,49.37332763,40.70663295,19.83604085,35.65781851,29069.95532,2.211234279,24.59424977,38.10663094,8.114478031,,,3.2,26.8,69.3,66.2,22.20000076,52.79999924,24.89999962,20.5,5.099999905,76.48292683,74.2,66.83123526,3564.367165,85.08,3.13,19.40108635,2.33845E+11,1.73945E+11,19.83612326,-4.699036214,4.7,5.7,5321799,18.27766609,66.80530548,54.06551968,5862.085,1496784,75.5,85.40000153,80.59999847,25.89999962,23.89999962,24.79999924,64.01851,47.96332,55.84922,1999
Spain,ESP,59.62277751,-2.926060166,36.64129553,80.9722521,4876.290661,0.510445045,7.066870743,41.64237902,79.94203508,23.68714818,2.310672196,1.284266897,35,,15.99263375,51,,,49,,,37.57855546,41.27716978,,7.088068627,17.1768901,59.55181725,26.67111539,25.12233982,28.52216256,13844.52806,4.207716298,17.96492713,24.37261057,4.376370051,,,7.2,30.7,62.1,51.5,50.90000153,18.20000076,25.29999924,51.2,15.60000038,78.68,75.28,68.34495059,1541.384103,76.22,3.13,7.590693053,9.16855E+11,6.17582E+11,25.14103046,11.04911244,5.6,6.7,39926268,15.01243782,68.29605865,26.95619093,2708.766,6640640,50.20000076,78.40000153,64.30000305,30.39999962,22.5,25.60000038,60.77213,51.45443,56.00876,1999
Finland,FIN,7.5314357,6.154644861,13.85173561,50.79174368,15075.94691,0.477664809,10.72079519,20.48341989,16.9586877,19.42093416,1.159265049,3.823279798,28,,22.77377022,14,,,41,,,63.37173139,55.18022298,,32.27213639,21.17536781,49.7876676,38.78958308,18.92570404,28.67832253,22444.1805,3.670738664,17.38786411,25.78418854,6.06929991,,,6.2,27.4,66,62.9,26.29999924,42.5,31.20000076,29.6,10.10000038,77.29121951,73.74,66.93361623,6330.381764,61.16,3.13,23.85667492,1.63248E+11,1.30323E+11,19.5583751,-1.339410659,3.6,4.4,5165474,18.3354187,66.90323639,7.130897272,2541.182,1134000,71.30000305,77,74.19999695,34,26.79999924,30.29999924,89.89868,73.44015,81.49202,1999
