TradeID,Type,Date,Ccy,Amt
FX200171,Spot,2/16/2021,EUR,1000000
FX200171,Spot,2/16/2021,USD,-1100000
FX200172,Spot,2/16/2021,GBP,-1000000
FX200172,Spot,2/16/2021,EUR,1180000
FX200173,Forward,3/16/2021,GBP,2000000
FX200173,Forward,3/16/2021,USD,-2600000
FX200174,NDF,4/16/2021,USD,300000
FX200174,NDF,4/16/2021,BRL,-1341000
FX200175,NDF,4/16/2021,EUR,-200000
FX200175,NDF,4/16/2021,BRL,992000
FX200176,Forward,5/16/2021,USD,-5000000
FX200176,Forward,5/16/2021,CAD,6750000
FX200177,Forward,5/16/2021,GBP,-2000000
FX200177,Forward,5/16/2021,USD,2620000
FX200178,Forward,5/16/2021,GBP,1000000
FX200178,Forward,5/16/2021,EUR,-1170000
FX200179,Forward,5/16/2021,EUR,-1000000
FX200179,Forward,5/16/2021,USD,1120000
