TradeID,Date,BuySellCcy1,Ccy1,Amt1,BuySellCcy2,Ccy2,Amt2
200171,2023-02-20,Sell,EUR,25000000,Buy,USD,23650000
200172,2023-02-20,Buy,EUR,35000000,Sell,USD,33057500
200173,2023-02-20,Buy,EUR,15000000,Sell,USD,14155500
200174,2023-02-21,Buy,EUR,10000000,Sell,USD,9439000
200175,2023-02-21,Sell,EUR,32000000,Buy,USD,30313600
200176,2023-02-22,Sell,EUR,6000000,Buy,USD,5473800
200177,2023-02-22,Buy,EUR,2000000,Sell,USD,1887000
200178,2023-02-22,Sell,EUR,14500000,Buy,USD,13702500
200179,2023-02-23,Buy,EUR,2000000,Sell,USD,1885000
200180,2023-02-24,Buy,EUR,5000000,Sell,USD,4749500
