Date,JNJ,MRK,PFE
2022-03-07,167.67,74.79,46.4
2022-03-08,164.27,74.04,45.88
2022-03-09,164.9,74.85,47.14
2022-03-10,165.19,74.94,47.58
2022-03-11,164.89,75.3,48.61
2022-03-14,167.17,75.5,50.53
2022-03-15,171.5,76.34,50.49
2022-03-16,169.92,75.83,51.18
2022-03-17,172.14,76.63,52.45
2022-03-18,170.23,76.79,52.71
2022-03-21,171.2,76.75,52.4
2022-03-22,170.39,76.98,51.29
2022-03-23,169.75,77.4,50.47
2022-03-24,170.62,78.06,50.86
2022-03-25,172.26,78.96,51.04
2022-03-28,173.14,78.83,51.52
2022-03-29,173.06,79.18,51.0
2022-03-30,174.86,79.99,50.71
2022-03-31,172.56,79.65,50.06
2022-04-01,173.49,81.07,49.87
2022-04-04,171.82,81.05,49.26
2022-04-05,172.93,81.27,49.55
2022-04-06,177.43,82.48,51.13
2022-04-07,176.97,84.26,53.34
2022-04-08,177.32,85.11,53.35
2022-04-11,175.1,84.09,52.15
2022-04-12,175.16,83.12,51.36
2022-04-13,175.9,83.61,51.35
2022-04-14,175.16,84.37,51.37
2022-04-18,172.98,83.55,50.13
2022-04-19,178.26,83.28,48.53
2022-04-20,179.04,83.93,48.11
2022-04-21,178.53,83.71,47.49
2022-04-22,176.76,82.11,46.54
2022-04-25,181.11,82.94,47.34
2022-04-26,179.81,82.01,47.41
2022-04-27,177.3,81.94,48.1
2022-04-28,178.63,85.99,48.84
2022-04-29,175.71,86.09,47.45
2022-05-02,173.93,85.08,46.75
2022-05-03,173.59,84.55,47.66
2022-05-04,175.45,85.93,48.02
2022-05-05,172.1,85.43,46.85
2022-05-06,171.72,85.8,47.42
2022-05-09,172.66,85.07,47.04
2022-05-10,172.42,85.24,47.86
2022-05-11,171.49,86.58,47.82
2022-05-12,173.18,88.17,49.13
2022-05-13,172.19,87.76,48.67
2022-05-16,173.39,89.62,49.4
2022-05-17,174.11,90.28,50.05
2022-05-18,170.88,89.4,49.14
2022-05-19,169.36,89.39,49.38
2022-05-20,172.32,90.81,51.15
2022-05-23,175.83,91.08,51.55
2022-05-24,177.76,91.87,52.07
2022-05-25,176.01,91.01,52.36
2022-05-26,175.85,89.61,52.64
2022-05-27,177.45,90.36,52.56
2022-05-31,175.92,89.34,51.71
2022-06-01,174.14,88.47,51.06
2022-06-02,173.59,87.37,51.36
2022-06-03,172.88,87.28,51.87
2022-06-06,172.86,87.21,51.92
2022-06-07,174.76,87.83,52.61
2022-06-08,173.72,86.86,52.13
2022-06-09,170.22,85.42,50.48
2022-06-10,169.08,84.63,48.72
2022-06-13,167.38,82.51,46.71
2022-06-14,164.81,82.7,46.72
2022-06-15,166.57,82.82,47.29
2022-06-16,166.66,83.08,46.29
2022-06-17,166.06,82.82,45.36
2022-06-21,169.53,86.15,46.9
2022-06-22,172.21,87.26,47.84
2022-06-23,176.05,90.04,48.83
2022-06-24,178.63,91.14,50.3
2022-06-27,178.46,92.4,50.58
2022-06-28,173.38,89.93,49.39
2022-06-29,173.43,90.54,49.66
2022-06-30,173.94,89.23,51.11
2022-07-01,175.91,90.45,51.0
2022-07-05,174.56,90.66,50.34
2022-07-06,174.72,91.14,51.43
2022-07-07,174.91,91.03,52.08
2022-07-08,174.7,90.8,51.84
2022-07-11,174.77,92.29,51.56
2022-07-12,172.32,91.6,50.73
2022-07-13,171.91,91.77,50.49
2022-07-14,172.15,91.88,50.1
2022-07-15,174.65,92.93,50.45
2022-07-18,170.73,90.37,49.48
2022-07-19,168.24,90.39,50.08
2022-07-20,167.28,87.74,49.55
2022-07-21,167.87,88.22,49.84
2022-07-22,168.66,88.19,49.95
2022-07-25,168.99,88.6,50.47
2022-07-26,170.19,89.34,50.99
2022-07-27,169.72,89.28,50.65
2022-07-28,170.7,88.02,49.83
2022-07-29,171.01,87.43,49.63
2022-08-01,170.42,86.64,49.72
2022-08-02,169.45,85.74,48.82
2022-08-03,171.08,85.75,48.99
2022-08-04,168.34,84.97,48.99
2022-08-05,167.67,85.55,48.41
2022-08-08,166.78,86.6,48.7
2022-08-09,166.76,87.61,48.91
2022-08-10,167.24,87.29,49.07
2022-08-11,163.78,87.03,47.44
2022-08-12,161.98,89.08,49.23
2022-08-15,162.75,88.67,48.88
2022-08-16,164.2,88.66,48.99
2022-08-17,164.21,89.1,48.41
2022-08-18,163.42,89.45,47.73
2022-08-19,165.91,90.12,48.29
2022-08-22,165.33,89.22,48.04
2022-08-23,163.89,88.28,47.17
2022-08-24,163.34,88.09,46.6
2022-08-25,164.87,88.34,47.06
2022-08-26,162.05,87.36,46.0
2022-08-29,160.8,85.72,45.42
2022-08-30,160.24,85.03,45.05
2022-08-31,159.16,83.54,44.44
2022-09-01,163.11,85.29,45.81
2022-09-02,160.54,84.39,44.9
2022-09-06,160.98,84.58,44.96
2022-09-07,161.85,85.02,45.32
2022-09-08,163.16,85.56,46.26
2022-09-09,163.47,85.48,47.0
2022-09-12,163.4,86.28,46.92
2022-09-13,159.15,84.44,45.38
2022-09-14,162.44,85.78,45.34
2022-09-15,162.85,85.58,45.14
2022-09-16,165.34,86.54,45.22
2022-09-19,164.03,85.48,44.64
2022-09-20,162.74,84.84,43.99
2022-09-21,161.07,83.39,43.15
2022-09-22,163.94,86.33,43.79
2022-09-23,164.47,85.61,43.31
2022-09-26,163.46,85.02,43.06
2022-09-27,162.71,84.69,43.32
