Date,OIL,USDX,GOLD,DJI
2021-03-08,65.05,92.31,1677.7,31802.44
2021-03-09,64.01,91.96,1716.6,31832.74
2021-03-10,64.44,91.79,1721.5,32297.02
2021-03-11,66.02,91.42,1722.3,32485.59
2021-03-12,65.61,91.68,1719.5,32778.64
2021-03-15,65.39,91.83,1728.9,32953.46
2021-03-16,64.8,91.87,1730.6,32825.95
2021-03-17,64.6,91.4,1726.8,33015.37
2021-03-18,60.0,91.85,1732.2,32862.3
2021-03-19,61.42,91.92,1741.4,32627.97
2021-03-22,61.55,91.8,1737.8,32731.2
2021-03-23,57.76,92.34,1724.7,32423.15
2021-03-24,61.18,92.53,1732.9,32420.06
2021-03-25,58.56,92.88,1724.9,32619.48
2021-03-26,60.97,92.77,1732.2,33072.88
2021-03-29,61.56,92.94,1712.1,33171.37
2021-03-30,60.55,93.3,1683.9,33066.96
2021-03-31,59.16,93.23,1713.8,32981.55
2021-04-01,61.45,92.93,1726.5,33153.21
2021-04-05,58.65,92.6,1727.0,33527.19
2021-04-06,59.33,92.34,1741.5,33430.24
2021-04-07,59.77,92.46,1740.1,33446.26
2021-04-08,59.6,92.06,1756.8,33503.57
2021-04-09,59.32,92.16,1743.3,33800.6
2021-04-12,59.7,92.14,1731.2,33745.4
2021-04-13,60.18,91.85,1746.2,33677.27
2021-04-14,63.15,91.69,1734.9,33730.89
2021-04-15,63.46,91.67,1765.4,34035.99
2021-04-16,63.13,91.56,1779.0,34200.67
2021-04-19,63.38,91.07,1769.4,34077.63
2021-04-20,62.44,91.24,1777.3,33821.3
2021-04-21,61.35,91.16,1792.3,34137.31
2021-04-22,61.43,91.33,1781.2,33815.9
2021-04-23,62.14,90.86,1777.0,34043.49
2021-04-26,61.91,90.81,1779.2,33981.57
2021-04-27,62.94,90.91,1778.0,33984.93
2021-04-28,63.86,90.61,1773.2,33820.38
2021-04-29,65.01,90.61,1768.1,34060.36
2021-04-30,63.58,91.28,1767.3,33874.85
2021-05-03,64.49,90.95,1791.4,34113.23
2021-05-04,65.69,91.29,1775.8,34133.03
2021-05-05,65.63,91.31,1784.1,34230.34
2021-05-06,64.71,90.95,1815.5,34548.53
2021-05-07,64.9,90.23,1831.1,34777.76
2021-05-10,64.92,90.21,1837.5,34742.82
2021-05-11,65.28,90.14,1835.9,34269.16
2021-05-12,66.08,90.71,1822.6,33587.66
2021-05-13,63.82,90.75,1823.8,34021.45
2021-05-14,65.37,90.32,1837.9,34382.13
2021-05-17,66.27,90.22,1867.5,34327.79
2021-05-18,65.49,89.75,1867.8,34060.66
2021-05-19,63.36,90.19,1881.3,33896.04
2021-05-20,62.05,89.81,1881.8,34084.15
2021-05-21,63.58,90.02,1876.7,34207.84
2021-05-24,66.05,89.83,1884.6,34393.98
2021-05-25,66.07,89.64,1898.1,34312.46
2021-05-26,66.21,90.04,1901.3,34323.05
2021-05-27,66.85,89.97,1895.7,34464.64
2021-05-28,66.32,90.03,1902.5,34529.45
2021-06-01,67.72,89.83,1902.9,34575.31
2021-06-02,68.83,89.9,1907.5,34600.38
