TradeID,TradeDate,Sector,Ticker,Shares,TradePrice,Customer
200171,2022-02-01,Financials,BAC,5000,47,CUST_A
200172,2022-02-01,HealthCare,MRK,5000,82,CUST_B
200173,2022-02-01,HealthCare,JNJ,4500,169,CUST_A
200174,2022-02-01,HealthCare,PFE,8000,53,CUST_A
200175,2022-02-03,Energy,XOM,6500,78.5,CUST_A
200176,2022-02-04,Financials,AXP,2500,185,CUST_A
200177,2022-02-07,IT,AAPL,1000,171.3,CUST_B
200178,2022-02-09,IT,AAPL,-300,176,CUST_B
200179,2022-02-10,HealthCare,PFE,-4000,51,CUST_A
200180,2022-02-11,Financials,BAC,5500,48,CUST_B
200181,2022-02-15,HealthCare,MRK,2000,77.2,CUST_A
200182,2022-02-17,HealthCare,JNJ,-1000,165,CUST_A
200183,2022-02-22,HealthCare,PFE,5000,47.3,CUST_B
200184,2022-02-22,IT,NVDA,1500,234,CUST_B
200185,2022-02-23,IT,NVDA,2000,224,CUST_B
200186,2022-02-25,Energy,XOM,5000,77.2,CUST_A
200187,2022-02-25,Financials,CME,1000,239,CUST_A
200188,2022-02-25,Financials,PFE,-1000,48,CUST_B
200189,2022-02-25,IT,CSCO,2800,56,CUST_B
