Date,AAPL,AXP,BAC,CME,CSCO,JNJ,MRK,NVDA,PFE,XOM
2022-02-01,174.39,183.54,46.94,232.02,55.37,169.79,81.92,246.38,53.07,79.94
2022-02-02,175.62,184.16,46.89,239.37,56.17,171.67,82.01,252.42,53.86,79.74
2022-02-03,172.68,184.04,46.43,241.07,55.2,171.66,79.01,239.48,53.38,78.81
2022-02-04,172.39,185.85,48.28,246.17,55.15,170.54,78.56,243.19,53,80.52
2022-02-07,171.66,187.87,48.51,242.67,55.17,169.97,77.58,247.28,53.21,81.49
2022-02-08,174.83,194,49.38,241.41,55.34,170.42,76.91,251.08,51.7,79.38
2022-02-09,176.28,196.4,49.28,249.51,56.29,170.4,76.53,267.05,51.47,79
2022-02-10,172.12,195.51,49.05,244.05,54.87,168.34,76.56,258.24,50.6,78.24
2022-02-11,168.64,191.81,47.92,241.03,53.9,166.64,76.64,239.49,50.78,80.21
2022-02-14,168.88,192.35,47.42,239.17,53.18,164.54,76.47,242.67,49.8,78.98
2022-02-15,172.79,197.98,47.79,238.84,54.27,166.24,77.81,264.95,49.79,77.99
2022-02-16,172.55,198.38,47.68,238.92,54.25,166.14,77.22,265.11,49.68,78.35
2022-02-17,168.88,195.71,46.07,238.85,55.77,165.13,76.36,245.07,48.9,78.23
2022-02-18,167.3,194.88,45.96,236.62,57.21,163.36,76.37,236.42,48.53,77.36
2022-02-22,164.32,192.44,45.56,238.37,56.3,161.14,75.95,233.9,47.53,76.46
2022-02-23,160.07,188.95,44.78,235.56,54.44,161.22,75.84,223.87,46.87,76.77
2022-02-24,162.74,188.35,43.6,237.26,54.73,158.14,73.51,237.48,45.96,75.8
2022-02-25,164.85,193.71,45.02,239.41,56.04,166,76.32,241.57,47.72,77.84
2022-02-28,165.12,194.54,44.2,236.53,55.77,164.57,76.58,243.85,46.94,78.42
