Date,Time,Open,High,Low,Close,Volume
05/03/2018,09:05,18025,18040,18010,18010,5186
05/03/2018,09:10,18010,18025,18005,18025,1370
05/03/2018,09:15,18020,18030,18020,18030,1354
05/03/2018,09:20,18030,18030,18025,18030,476
05/03/2018,09:25,18030,18035,18025,18030,1388
05/03/2018,09:30,18030,18040,18025,18040,1150
05/03/2018,09:35,18040,18045,18035,18045,1310
05/03/2018,09:40,18040,18045,18030,18040,1488
05/03/2018,09:45,18040,18045,18035,18040,422
05/03/2018,09:50,18040,18040,18030,18040,824
05/03/2018,09:55,18040,18050,18040,18045,1174
05/03/2018,10:00,18045,18050,18040,18045,692
05/03/2018,10:05,18040,18055,18040,18055,1108
05/03/2018,10:10,18050,18055,18045,18055,1652
05/03/2018,10:15,18050,18055,18045,18050,956
05/03/2018,10:20,18050,18050,18050,18050,0
05/03/2018,10:25,18050,18050,18050,18050,0
05/03/2018,10:30,18050,18050,18050,18050,0
05/03/2018,10:35,18050,18065,18050,18060,5494
05/03/2018,10:40,18060,18065,18055,18060,1962
05/03/2018,10:45,18065,18065,18040,18045,2172
05/03/2018,10:50,18045,18050,18035,18035,1152
05/03/2018,10:55,18040,18040,18030,18030,1366
05/03/2018,11:00,18030,18035,18025,18030,1288
05/03/2018,11:05,18025,18055,18025,18045,1632
05/03/2018,11:10,18045,18060,18045,18055,1052
05/03/2018,11:15,18050,18075,18050,18055,7720
05/03/2018,11:20,18065,18085,18055,18070,10610
05/03/2018,11:25,18075,18080,18055,18070,2236
05/03/2018,11:30,18070,18080,18065,18075,2388
05/03/2018,11:35,18075,18075,18075,18075,0
05/03/2018,11:40,18075,18075,18075,18075,0
05/03/2018,11:45,18075,18075,18075,18075,0
05/03/2018,11:50,18075,18075,18075,18075,0
05/03/2018,11:55,18075,18075,18075,18075,0
05/03/2018,12:00,18075,18075,18075,18075,0
05/03/2018,12:05,18075,18075,18075,18075,0
05/03/2018,12:10,18075,18075,18075,18075,0
05/03/2018,12:15,18075,18075,18075,18075,0
05/03/2018,12:20,18075,18075,18075,18075,0
05/03/2018,12:25,18075,18075,18075,18075,0
05/03/2018,12:30,18075,18075,18075,18075,0
05/03/2018,12:35,18075,18075,18075,18075,0
05/03/2018,12:40,18075,18075,18075,18075,0
05/03/2018,12:45,18075,18075,18075,18075,0
05/03/2018,12:50,18075,18075,18075,18075,0
05/03/2018,12:55,18075,18075,18075,18075,0
05/03/2018,13:00,18075,18075,18075,18075,0
05/03/2018,13:05,18075,18075,18075,18075,0
05/03/2018,13:10,18075,18075,18075,18075,0
05/03/2018,13:15,18075,18075,18075,18075,0
05/03/2018,13:20,18075,18075,18075,18075,0
05/03/2018,13:25,18075,18075,18075,18075,0
05/03/2018,13:30,18075,18075,18075,18075,200
05/03/2018,13:35,18075,18090,18070,18085,6922
05/03/2018,13:40,18085,18085,18070,18080,3126
05/03/2018,13:45,18075,18085,18075,18085,680
05/03/2018,13:50,18085,18085,18075,18075,1546
05/03/2018,13:55,18075,18080,18070,18070,800
05/03/2018,14:00,18070,18080,18055,18060,2812
05/03/2018,14:05,18060,18060,18050,18055,3146
05/03/2018,14:10,18055,18070,18055,18055,2886
05/03/2018,14:15,18060,18065,18055,18060,1214
05/03/2018,14:20,18065,18070,18060,18065,850
05/03/2018,14:25,18065,18070,18060,18065,470
05/03/2018,14:30,18070,18080,18065,18075,1382
05/03/2018,14:35,18075,18085,18075,18080,3820
05/03/2018,14:40,18085,18095,18080,18090,7242
05/03/2018,14:45,18090,18105,18080,18090,8776
05/03/2018,14:50,18090,18110,18090,18100,12332
05/03/2018,14:55,18100,18125,18095,18125,10802
05/03/2018,15:00,18125,18130,18090,18100,10620
05/04/2018,09:05,18095,18100,18075,18085,5684
05/04/2018,09:10,18080,18085,18070,18075,1542
05/04/2018,09:15,18080,18080,18060,18060,3132
05/04/2018,09:20,18065,18075,18060,18070,1248
05/04/2018,09:25,18075,18080,18070,18080,1142
05/04/2018,09:30,18080,18105,18080,18095,2956
05/04/2018,09:35,18095,18095,18080,18090,1498
05/04/2018,09:40,18090,18095,18080,18080,2036
05/04/2018,09:45,18085,18090,18080,18085,756
05/04/2018,09:50,18090,18095,18075,18080,856
05/04/2018,09:55,18080,18090,18080,18085,440
05/04/2018,10:00,18085,18095,18080,18085,1138
05/04/2018,10:05,18085,18085,18080,18080,726
05/04/2018,10:10,18080,18090,18080,18085,1012
05/04/2018,10:15,18090,18090,18080,18090,596
05/04/2018,10:20,18090,18090,18090,18090,0
05/04/2018,10:25,18090,18090,18090,18090,0
05/04/2018,10:30,18090,18090,18090,18090,0
05/04/2018,10:35,18090,18105,18085,18105,1440
05/04/2018,10:40,18105,18115,18100,18115,2412
05/04/2018,10:45,18115,18115,18105,18105,1624
05/04/2018,10:50,18110,18115,18110,18110,480
05/04/2018,10:55,18115,18120,18105,18105,1370
05/04/2018,11:00,18105,18115,18105,18115,714
05/04/2018,11:05,18110,18115,18105,18110,568
05/04/2018,11:10,18105,18115,18105,18115,494
05/04/2018,11:15,18110,18115,18100,18100,1322
05/04/2018,11:20,18105,18105,18090,18090,1766
05/04/2018,11:25,18090,18095,18090,18090,514
05/04/2018,11:30,18090,18095,18075,18085,3582
05/04/2018,11:35,18085,18085,18085,18085,0
05/04/2018,11:40,18085,18085,18085,18085,0
05/04/2018,11:45,18085,18085,18085,18085,0
05/04/2018,11:50,18085,18085,18085,18085,0
05/04/2018,11:55,18085,18085,18085,18085,0
05/04/2018,12:00,18085,18085,18085,18085,0
05/04/2018,12:05,18085,18085,18085,18085,0
05/04/2018,12:10,18085,18085,18085,18085,0
05/04/2018,12:15,18085,18085,18085,18085,0
05/04/2018,12:20,18085,18085,18085,18085,0
05/04/2018,12:25,18085,18085,18085,18085,0
05/04/2018,12:30,18085,18085,18085,18085,0
05/04/2018,12:35,18085,18085,18085,18085,0
05/04/2018,12:40,18085,18085,18085,18085,0
05/04/2018,12:45,18085,18085,18085,18085,0
05/04/2018,12:50,18085,18085,18085,18085,0
05/04/2018,12:55,18085,18085,18085,18085,0
05/04/2018,13:00,18085,18085,18085,18085,0
05/04/2018,13:05,18085,18085,18085,18085,0
05/04/2018,13:10,18085,18085,18085,18085,0
05/04/2018,13:15,18085,18085,18085,18085,0
05/04/2018,13:20,18085,18085,18085,18085,0
05/04/2018,13:25,18085,18085,18085,18085,0
05/04/2018,13:30,18085,18085,18085,18085,0
05/04/2018,13:35,18085,18095,18080,18085,1408
05/04/2018,13:40,18085,18095,18080,18085,1434
05/04/2018,13:45,18085,18090,18075,18080,2280
05/04/2018,13:50,18085,18090,18080,18090,554
05/04/2018,13:55,18090,18090,18085,18090,386
05/04/2018,14:00,18090,18090,18080,18090,770
05/04/2018,14:05,18085,18090,18075,18080,1534
05/04/2018,14:10,18080,18085,18080,18085,670
05/04/2018,14:15,18080,18085,18075,18085,676
05/04/2018,14:20,18085,18090,18070,18080,1456
05/04/2018,14:25,18080,18085,18075,18085,324
05/04/2018,14:30,18080,18085,18080,18080,298
05/04/2018,14:35,18085,18090,18080,18090,388
05/04/2018,14:40,18085,18095,18085,18095,982
05/04/2018,14:45,18095,18100,18090,18100,830
05/04/2018,14:50,18100,18105,18095,18100,1070
05/04/2018,14:55,18100,18110,18090,18110,4386
05/04/2018,15:00,18110,18110,18095,18110,2150
05/07/2018,09:05,18180,18215,18125,18210,54460
05/07/2018,09:10,18215,18215,18180,18190,12188
05/07/2018,09:15,18190,18215,18190,18205,7886
05/07/2018,09:20,18200,18230,18200,18220,9620
05/07/2018,09:25,18225,18245,18220,18240,12028
05/07/2018,09:30,18240,18270,18230,18260,13360
05/07/2018,09:35,18255,18265,18240,18245,4600
05/07/2018,09:40,18245,18245,18230,18230,2396
05/07/2018,09:45,18235,18245,18230,18245,3124
