Date,Time,Open,High,Low,Close,Volume
05/03/2018,09:05,48480,48520,48450,48470,3416
05/03/2018,09:10,48480,48530,48460,48530,1898
05/03/2018,09:15,48520,48550,48510,48540,1358
05/03/2018,09:20,48530,48560,48510,48530,1338
05/03/2018,09:25,48530,48580,48530,48540,1918
05/03/2018,09:30,48540,48570,48530,48550,1154
05/03/2018,09:35,48550,48590,48550,48580,1062
05/03/2018,09:40,48580,48600,48570,48600,1714
05/03/2018,09:45,48590,48600,48570,48580,1314
05/03/2018,09:50,48580,48590,48550,48580,1998
05/03/2018,09:55,48570,48580,48550,48560,990
05/03/2018,10:00,48550,48560,48540,48550,818
05/03/2018,10:05,48550,48560,48510,48520,1536
05/03/2018,10:10,48520,48520,48490,48500,2048
05/03/2018,10:15,48500,48530,48500,48500,1124
05/03/2018,10:20,48500,48500,48500,48500,0
05/03/2018,10:25,48500,48500,48500,48500,0
05/03/2018,10:30,48500,48500,48500,48500,0
05/03/2018,10:35,48500,48530,48460,48480,2462
05/03/2018,10:40,48480,48490,48460,48480,1792
05/03/2018,10:45,48470,48480,48460,48480,642
05/03/2018,10:50,48470,48480,48410,48420,3344
05/03/2018,10:55,48420,48450,48410,48410,1738
05/03/2018,11:00,48410,48440,48390,48430,2174
05/03/2018,11:05,48440,48470,48430,48450,1624
05/03/2018,11:10,48450,48480,48420,48430,3430
05/03/2018,11:15,48430,48450,48420,48440,1194
05/03/2018,11:20,48440,48480,48430,48470,1050
05/03/2018,11:25,48480,48500,48460,48500,2522
05/03/2018,11:30,48490,48500,48480,48480,1070
05/03/2018,11:35,48490,48490,48490,48490,2
05/03/2018,11:40,48490,48490,48490,48490,0
05/03/2018,11:45,48490,48490,48490,48490,0
05/03/2018,11:50,48490,48490,48490,48490,0
05/03/2018,11:55,48490,48490,48490,48490,0
05/03/2018,12:00,48490,48490,48490,48490,0
05/03/2018,12:05,48490,48490,48490,48490,0
05/03/2018,12:10,48490,48490,48490,48490,0
05/03/2018,12:15,48490,48490,48490,48490,0
05/03/2018,12:20,48490,48490,48490,48490,0
05/03/2018,12:25,48490,48490,48490,48490,0
05/03/2018,12:30,48490,48490,48490,48490,0
05/03/2018,12:35,48490,48490,48490,48490,0
05/03/2018,12:40,48490,48490,48490,48490,0
05/03/2018,12:45,48490,48490,48490,48490,0
05/03/2018,12:50,48490,48490,48490,48490,0
05/03/2018,12:55,48490,48490,48490,48490,0
05/03/2018,13:00,48490,48490,48490,48490,0
