MSOFT,GE,GM
-0.02863,0.0098,-0.07715
0.06105,0.06311,0.10161
0.12897,-0.00621,0.03226
0.14938,0.03704,0.02557
0.03593,0.03571,0.07036
0.06716,-0.02095,-0.02344
0.00138,0.04656,0.04
0.0221,-0.00212,-0.02718
-0.02162,0.08977,-0.00531
0.10497,-0.00784,-0.06667
-0.12875,0.06126,0.11543
0.00717,0.07948,0.09021
0.05413,0.06597,-0.00473
0.06689,-0.01629,-0.01853
0.04497,0.03755,0.03902
0.09818,-0.00803,0.01878
0.04857,0.0712,0.0235
0.01158,0.04834,-0.04989
-0.01873,-0.04657,-0.06921
0.03924,0.01064,0.02615
0.07653,0.10027,-0.03275
0.04076,0.06319,0.11719
0.14299,0.07494,0.08205
0.05339,-0.04428,-0.03254
0.23449,0.04678,0.0583
-0.04412,-0.00604,-0.01059
-0.05962,-0.03018,-0.0432
0.32515,0.11839,0.04515
0.02058,0.08784,0
0.01915,0.0766,-0.02832
0.11968,0.08285,0.10987
-0.06581,-0.10784,0.02222
0.00095,0.09207,0.06673
-0.01748,-0.05051,-0.04108
0.08846,0.14313,-0.04284
-0.08657,-0.00271,0.05804
0.15426,0.05622,-0.0463
0.13615,0.00323,0.19849
0.05605,0.11238,-0.01723
0.00698,-0.0116,-0.00554
-0.05895,-0.02128,0.07421
0.27782,0.08996,-0.07043
0.01442,-0.01252,0.08232
-0.12735,-0.10552,-0.18928
0.14723,-0.00172,-0.05591
-0.03805,0.09976,0.15148
0.1523,0.03286,0.11375
0.13678,0.1325,0.02415
0.26183,0.02819,0.25415
-0.14214,-0.0435,-0.07451
0.194,0.10629,0.05435
-0.09275,-0.04746,0.02371
-0.00769,-0.03499,-0.07125
0.11774,0.11125,-0.04348
-0.04851,-0.0323,-0.07386
0.07866,0.03039,0.09202
-0.02161,0.05876,-0.05
0.02208,0.14286,0.11917
-0.01637,-0.03967,0.02928
0.28231,0.19239,0.00955
-0.16167,-0.13651,0.10834
-0.08685,-0.00935,-0.04965
0.18881,0.17873,0.08874
-0.34353,0.01044,0.13057
-0.10305,0.00517,-0.24032
0.27872,0.00593,-0.17788
-0.12734,-0.0269,-0.01938
0,0.14095,0.27662
-0.13608,-0.01471,-0.09957
0.14197,-0.04984,-0.04423
-0.16697,-0.09578,-0.19517
-0.24401,-0.02956,0.02904
0.40778,-0.04083,0.05423
-0.03378,0.01131,0.00223
-0.07309,-0.09634,-0.02757
0.23886,0.15934,0.05709
0.02111,0.00968,0.04725
0.05522,-0.0051,0.13093
-0.09329,-0.10441,-0.01166
-0.13809,-0.05793,-0.13129
-0.10307,-0.08834,-0.21644
0.13641,-0.02124,-0.03683
0.10421,0.0574,0.21491
0.03177,0.04571,-0.02213
-0.03834,-0.0731,0.05226
-0.08429,0.04118,0.04576
0.03377,-0.02727,0.141
-0.13348,-0.15754,0.06121
-0.02583,-0.013,-0.02338
0.07445,-0.06134,-0.13998
-0.12285,0.10843,-0.12909
0.02293,-0.06366,0.03888
-0.1088,-0.17645,-0.18721
0.22245,0.02434,-0.14524
0.07874,0.07406,0.20902
-0.10368,-0.09513,-0.07154
-0.08201,-0.04969,-0.01438
0.00211,0.04754,-0.0567
0.02152,0.06029,-0.00444
0.05576,0.1549,0.07228
-0.03717,-0.02547,-0.0061
0.04185,0.00592,0.01896
0.03003,-0.00837,0.03972
0.00417,0.03973,0.11141
0.04827,0.01454,-0.00414
-0.05396,-0.02684,0.04251
-0.01645,-0.01172,0.0143
0.06457,0.08755,0.24825
0.01023,0.08554,-0.06966
-0.04051,-0.02706,-0.02134
-0.06031,-0.0615,-0.0212
0.04813,-0.01868,0.00679
0.00383,0.03907,-0.03226
0.08883,0.04756,0.02644
-0.00245,0.02623,-0.07405
-0.03896,-0.01383,-0.03083
0.01282,0.03019,0.02832
0.01157,0.01608,-0.09251
0.06864,0.03634,0.01401
-0.00336,0.03846,0.03809
