id,h,DeltaT,lambda,R2
0,1,1,4.029894,0.05554571
0,1,15,3.503654,0.005701841
0,1,60,4.089801,0.002426374
0,5,1,5.043827,0.1040647
0,5,15,4.796547,0.04331196
0,5,60,4.722691,0.01634841
0,30,1,5.1927,0.1158953
0,30,15,4.532993,0.08510361
0,30,60,3.707241,0.05499832
0,60,1,5.181921,0.1165311
0,60,15,4.260502,0.08693151
0,60,60,3.341161,0.06597691
1,1,1,4.446895,0.06115941
1,1,15,4.267403,0.008358513
1,1,60,5.901814,0.004944258
1,5,1,5.178476,0.1035574
1,5,15,5.049616,0.04807694
1,5,60,5.92922,0.0249152
1,30,1,5.133855,0.110441
1,30,15,4.656732,0.09167812
1,30,60,4.168303,0.06671141
1,60,1,5.094629,0.1103784
1,60,15,4.345486,0.0928042
1,60,60,3.579131,0.07324173
2,1,1,4.680557,0.06683823
2,1,15,3.987683,0.006436635
2,1,60,4.663417,0.003017483
2,5,1,5.71912,0.1206558
2,5,15,5.30282,0.04620395
2,5,60,5.145543,0.01847026
2,30,1,5.833526,0.1324562
2,30,15,4.856191,0.08680936
2,30,60,3.622626,0.05147162
2,60,1,5.816746,0.1329633
2,60,15,4.54475,0.08783293
2,60,60,3.215634,0.05989301
3,1,1,4.589369,0.06321512
3,1,15,3.427209,0.004661946
3,1,60,3.839464,0.001836079
3,5,1,5.731313,0.1177984
3,5,15,5.208694,0.04428177
3,5,60,4.639159,0.01384779
3,30,1,5.879269,0.1311429
3,30,15,5.108262,0.09549943
3,30,60,3.854376,0.05188483
3,60,1,5.85906,0.1317511
3,60,15,4.805123,0.0981012
3,60,60,3.372758,0.05922282
4,1,1,4.611069,0.06669204
4,1,15,4.492778,0.008870357
4,1,60,6.147639,0.004991758
4,5,1,5.633784,0.1203117
4,5,15,5.693138,0.05998367
4,5,60,5.919878,0.02397657
4,30,1,5.704033,0.1313986
4,30,15,4.993409,0.1022527
4,30,60,3.66062,0.04971291
4,60,1,5.673838,0.1315449
4,60,15,4.596013,0.1000632
4,60,60,3.063743,0.05231449
5,1,1,4.186459,0.05673086
5,1,15,3.704651,0.006127639
5,1,60,3.569312,0.001733227
5,5,1,5.222966,0.1051421
5,5,15,4.66798,0.0391517
5,5,60,3.989942,0.01103259
5,30,1,5.34865,0.1160998
5,30,15,4.428667,0.07872974
5,30,60,3.304368,0.04261978
5,60,1,5.334506,0.1166774
5,60,15,4.203499,0.0822333
5,60,60,3.016351,0.05330236
6,1,1,4.636753,0.06578883
6,1,15,4.254056,0.008113965
6,1,60,4.158142,0.002301657
6,5,1,5.694327,0.1202368
6,5,15,5.289349,0.0515148
6,5,60,4.596158,0.01387403
6,30,1,5.734952,0.1304311
6,30,15,4.75952,0.09014807
6,30,60,4.009984,0.05466123
6,60,1,5.706319,0.1306706
6,60,15,4.479079,0.09154092
6,60,60,3.537352,0.06393485
7,1,1,4.449287,0.06164965
7,1,15,4.449987,0.008514201
7,1,60,6.250298,0.004901152
7,5,1,5.547026,0.115046
7,5,15,5.787574,0.05788177
7,5,60,6.455499,0.02721486
7,30,1,5.676198,0.1273966
7,30,15,5.195776,0.1066311
7,30,60,4.372365,0.07525274
7,60,1,5.653424,0.1278904
7,60,15,4.780616,0.1069556
7,60,60,3.657123,0.08140672
8,1,1,4.486093,0.06499014
8,1,15,3.542284,0.005177626
8,1,60,3.019619,0.001190297
8,5,1,5.569077,0.1182802
8,5,15,4.662197,0.03645599
8,5,60,3.478544,0.008115088
8,30,1,5.695561,0.1299887
8,30,15,4.236147,0.06888668
8,30,60,2.926021,0.0312473
8,60,1,5.675225,0.1304446
8,60,15,3.967409,0.07046449
8,60,60,2.646181,0.03798273
9,1,1,4.453566,0.06496723
9,1,15,3.588732,0.005822643
9,1,60,5.046971,0.003461997
9,5,1,5.475446,0.1177022
9,5,15,5.068834,0.04595445
9,5,60,5.415751,0.01988078
9,30,1,5.586955,0.1296497
9,30,15,4.801057,0.09278661
9,30,60,3.948543,0.05665111
9,60,1,5.565642,0.1301324
9,60,15,4.492329,0.09462022
9,60,60,3.450004,0.06392815
10,1,1,4.597625,0.06446667
10,1,15,4.334315,0.007757611
10,1,60,5.896507,0.004527271
10,5,1,5.682087,0.1185147
10,5,15,5.817182,0.05510656
10,5,60,6.427588,0.02658695
10,30,1,5.803125,0.1308526
10,30,15,5.406388,0.1062191
10,30,60,4.465534,0.07235319
10,60,1,5.782526,0.131341
10,60,15,5.019133,0.1065292
10,60,60,3.77046,0.077317
11,1,1,3.937025,0.06381774
11,1,15,3.466308,0.00696834
11,1,60,3.94506,0.002601102
11,5,1,4.825433,0.1149504
11,5,15,4.357263,0.04737679
11,5,60,3.861323,0.01389777
11,30,1,4.915336,0.1269211
11,30,15,4.149874,0.09984131
11,30,60,3.530197,0.06107529
11,60,1,4.899866,0.1275029
11,60,15,3.979195,0.1038788
11,60,60,3.22276,0.07057568
12,1,1,4.25789,0.06216229
12,1,15,4.452827,0.008995364
12,1,60,4.902714,0.00311757
12,5,1,5.21047,0.1115467
12,5,15,5.009297,0.04727576
12,5,60,4.825319,0.01546324
12,30,1,5.291223,0.1212299
12,30,15,4.12507,0.07193379
12,30,60,3.256036,0.03911079
12,60,1,5.270169,0.1214811
12,60,15,3.832939,0.07172991
12,60,60,2.857689,0.04479753
13,1,1,4.578039,0.06419288
13,1,15,4.259382,0.007555074
13,1,60,5.660589,0.003997684
13,5,1,5.672251,0.1176528
13,5,15,5.576795,0.05258237
13,5,60,5.641864,0.02060982
13,30,1,5.803288,0.1298596
13,30,15,5.096708,0.0998706
13,30,60,4.013281,0.05790566
13,60,1,5.778453,0.1302857
13,60,15,4.734056,0.1011376
13,60,60,3.566331,0.06922907
14,1,1,4.343496,0.06115177
14,1,15,3.258372,0.004710574
14,1,60,3.47072,0.001688784
14,5,1,5.389823,0.1125794
14,5,15,4.568212,0.03863201
14,5,60,4.029669,0.01189314
14,30,1,5.541143,0.1251234
14,30,15,4.361851,0.0789203
14,30,60,3.107877,0.0389131
14,60,1,5.525105,0.1256909
14,60,15,4.096752,0.08077785
14,60,60,2.777798,0.0460922
15,1,1,4.758597,0.0650429
15,1,15,4.03535,0.006314109
15,1,60,5.878588,0.00391305
15,5,1,5.968386,0.1226923
15,5,15,5.220257,0.04490228
15,5,60,5.707733,0.01988971
15,30,1,6.093423,0.1358076
15,30,15,4.692391,0.08395091
15,30,60,3.668672,0.04606193
15,60,1,6.055691,0.1359185
15,60,15,4.283308,0.08204359
15,60,60,2.976184,0.04519331
16,1,1,4.244359,0.06133894
16,1,15,3.702222,0.00628275
16,1,60,3.9175,0.002170949
16,5,1,5.235643,0.1125407
16,5,15,4.923121,0.04516385
16,5,60,4.451998,0.01391866
16,30,1,5.349088,0.1243429
16,30,15,4.637336,0.08674633
16,30,60,3.685427,0.0500914
16,60,1,5.337391,0.1250173
16,60,15,4.401908,0.08983622
16,60,60,3.422852,0.06368033
17,1,1,4.730304,0.06508184
17,1,15,4.213636,0.007064801
17,1,60,4.49749,0.002314759
17,5,1,5.831126,0.1187283
17,5,15,5.427389,0.04741949
17,5,60,4.492278,0.01186542
17,30,1,5.931394,0.1301032
17,30,15,4.892495,0.08585301
17,30,60,3.30178,0.03556698
17,60,1,5.90482,0.1304031
17,60,15,4.549313,0.08586523
17,60,60,2.922302,0.04058312
18,1,1,4.604921,0.06319282
18,1,15,3.968828,0.00672545
18,1,60,5.342286,0.00375218
18,5,1,5.736731,0.1169215
18,5,15,5.144571,0.04632018
18,5,60,5.499156,0.02035621
18,30,1,5.868282,0.128897
18,30,15,4.640399,0.08329802
18,30,60,3.635287,0.04928494
18,60,1,5.846285,0.1292785
18,60,15,4.293309,0.08258727
18,60,60,3.026947,0.05118846
19,1,1,4.618358,0.06204172
19,1,15,4.353823,0.007456387
19,1,60,5.770753,0.004031389
19,5,1,5.706807,0.1137542
19,5,15,5.635558,0.05040525
19,5,60,5.834127,0.0207655
19,30,1,5.827645,0.1253486
19,30,15,5.286253,0.097811
19,30,60,4.205326,0.06073924
19,60,1,5.806019,0.1257927
19,60,15,4.919477,0.09867744
19,60,60,3.544282,0.06565223
20,1,1,4.245552,0.0588757
20,1,15,3.431546,0.005356771
20,1,60,3.957853,0.002158603
20,5,1,5.248984,0.1079427
20,5,15,4.559,0.03760178
20,5,60,4.344372,0.01248105
20,30,1,5.372749,0.119245
20,30,15,4.390775,0.07529548
20,30,60,3.246881,0.03655378
20,60,1,5.357692,0.1197551
20,60,15,4.133174,0.07667458
20,60,60,2.79859,0.04027266
21,1,1,4.404153,0.06182417
21,1,15,3.295634,0.00479521
21,1,60,3.928659,0.001890807
21,5,1,5.487475,0.1140837
21,5,15,4.745187,0.03982969
21,5,60,4.537268,0.0123065
21,30,1,5.632924,0.1262901
21,30,15,4.623035,0.08328668
21,30,60,3.561743,0.04023304
21,60,1,5.623364,0.1270185
21,60,15,4.412651,0.08710013
21,60,60,3.35288,0.05229643
22,1,1,4.523356,0.06554974
22,1,15,3.978247,0.007111188
22,1,60,5.566833,0.004333772
22,5,1,5.611653,0.1194881
22,5,15,5.005667,0.04629656
22,5,60,5.554591,0.02225917
22,30,1,5.730248,0.131151
22,30,15,4.433782,0.08215642
22,30,60,3.480664,0.04879052
22,60,1,5.704334,0.1313538
22,60,15,4.069966,0.08060459
22,60,60,2.873396,0.05027687
23,1,1,4.61185,0.06394703
23,1,15,5.224401,0.01160307
23,1,60,6.013763,0.004831991
23,5,1,5.803702,0.1212071
23,5,15,6.169108,0.06693566
23,5,60,6.178712,0.02584683
23,30,1,5.929417,0.1337629
23,30,15,5.48324,0.1165218
23,30,60,4.976617,0.09090165
23,60,1,5.90851,0.1342826
23,60,15,5.169618,0.1190551
23,60,60,4.478051,0.1089502
24,1,1,4.504646,0.06026406
24,1,15,3.67125,0.005244482
24,1,60,6.242146,0.004640846
24,5,1,5.489079,0.1101291
24,5,15,5.230214,0.04448769
24,5,60,6.236454,0.02367328
24,30,1,5.546068,0.1206315
24,30,15,4.871091,0.0886245
24,30,60,4.216552,0.05805161
24,60,1,5.514091,0.1208207
24,60,15,4.516089,0.08845947
24,60,60,3.526301,0.06095509
25,1,1,4.642925,0.06568351
25,1,15,4.326681,0.007660261
25,1,60,5.567081,0.004042058
25,5,1,5.702548,0.1193504
25,5,15,5.567138,0.05276677
25,5,60,5.683078,0.02247546
25,30,1,5.809352,0.1311396
25,30,15,4.893918,0.09387965
25,30,60,4.063711,0.06582843
25,60,1,5.780356,0.131401
25,60,15,4.515949,0.09360459
25,60,60,3.560707,0.07580496
26,1,1,4.91394,0.07041396
26,1,15,5.637768,0.01226734
26,1,60,7.341197,0.005535745
26,5,1,6.064335,0.1278537
26,5,15,6.126298,0.06174874
26,5,60,6.647936,0.02413103
26,30,1,6.173527,0.1400509
26,30,15,5.335471,0.1078475
26,30,60,4.948009,0.08682414
26,60,1,6.148901,0.1406825
26,60,15,4.995087,0.1122802
26,60,60,4.448843,0.1109991
27,1,1,4.742755,0.06247526
27,1,15,3.590093,0.00528805
27,1,60,4.018397,0.001959924
27,5,1,5.808606,0.1119538
27,5,15,4.605344,0.03761274
27,5,60,4.018805,0.0108502
27,30,1,5.886793,0.122306
27,30,15,4.304493,0.0763989
27,30,60,3.406246,0.04519432
27,60,1,5.855749,0.1226106
27,60,15,4.05034,0.07905729
