month,h,DeltaT,varI,covI,varrtn,lambda,prevLambda,R2
2019-01,1,1,0.05322332,0.2482827,19.89801,4.664924,,
2019-01,1,15,0.08959574,0.307477,225.3182,3.431826,,
2019-01,1,60,0.07981461,0.2958939,673.3194,3.707265,,
2019-01,5,1,0.06395738,0.3683624,19.89801,5.759497,,
2019-01,5,15,0.3763849,1.747806,225.3182,4.643667,,
2019-01,5,60,0.4250236,1.65614,673.3194,3.896583,,
2019-01,30,1,0.06766657,0.3971312,19.89801,5.868942,,
2019-01,30,15,0.8592862,3.613265,225.3182,4.20496,,
2019-01,30,60,2.44328,6.878296,673.3194,2.815189,,
2019-01,60,1,0.06848723,0.3999012,19.89801,5.839062,,
2019-01,60,15,1.007664,3.914097,225.3182,3.884327,,
2019-01,60,60,3.727777,9.080889,673.3194,2.436006,,
2019-02,1,1,0.03260784,0.1528691,10.4173,4.688107,4.664924,0.06879414
2019-02,1,15,0.05416511,0.2241312,119.0098,4.137925,3.431826,0.007566038
2019-02,1,60,0.04774532,0.2654813,339.4161,5.560363,3.707265,0.0038661
2019-02,5,1,0.03907049,0.225733,10.4173,5.777584,5.759497,0.1251936
2019-02,5,15,0.2216589,1.177675,119.0098,5.313004,4.643667,0.05174099
2019-02,5,60,0.2424679,1.371759,339.4161,5.657485,3.896583,0.02064977
2019-02,30,1,0.04122314,0.2435723,10.4173,5.908629,5.868942,0.1381465
2019-02,30,15,0.4902654,2.457711,119.0098,5.013021,4.20496,0.1008357
2019-02,30,60,1.324967,5.450901,339.4161,4.113989,2.815189,0.05948417
2019-02,60,1,0.04166377,0.2453834,10.4173,5.889611,5.839062,0.1387218
2019-02,60,15,0.5680031,2.671907,119.0098,4.704036,3.884327,0.1024041
2019-02,60,60,1.986672,7.107552,339.4161,3.577618,2.436006,0.06728886
2019-03,1,1,0.02917466,0.1375847,9.958979,4.715897,4.688107,0.0651485
2019-03,1,15,0.0490487,0.2021216,126.3261,4.120835,4.137925,0.006593219
2019-03,1,60,0.04314736,0.2274671,396.2279,5.271867,5.560363,0.003017419
2019-03,5,1,0.03502335,0.2047371,9.958979,5.845732,5.777584,0.1201605
2019-03,5,15,0.2050866,1.112632,126.3261,5.425181,5.313004,0.0477625
2019-03,5,60,0.2258115,1.260954,396.2279,5.5841,5.657485,0.01776775
2019-03,30,1,0.03703329,0.2216188,9.958979,5.984312,5.908629,0.1331486
2019-03,30,15,0.4629849,2.357679,126.3261,5.092346,5.013021,0.09501762
2019-03,30,60,1.268511,5.510935,396.2279,4.344414,4.113989,0.06025429
2019-03,60,1,0.03745411,0.2234092,9.958979,5.964878,5.889611,0.1337885
2019-03,60,15,0.5378769,2.582834,126.3261,4.801906,4.704036,0.09813789
2019-03,60,60,1.896243,7.341098,396.2279,3.87139,3.577618,0.07131403
2019-04,1,1,0.03352503,0.1516642,9.87901,4.523908,4.715897,0.06932668
2019-04,1,15,0.05508237,0.2198318,117.6112,3.990964,4.120835,0.007451771
